pre,post,value
I1L,I2L,1
I1L,I3,1
I1L,I5,1
I1L,I6,1
I1L,M2L,1
I1L,M3L,1
I1L,M3R,1
I1L,MCL,1
I1L,MCR,1
I1L,MI,1
I1L,NSML,1
I1L,pm1,1
I1L,pm3VL,1
I1L,pm4D,1
I1L,pm4VL,1
I1R,I2R,1
I1R,I3,1
I1R,I5,1
I1R,M1,1
I1R,M2L,1
I1R,M2R,1
I1R,M3L,1
I1R,M3R,1
I1R,MCL,1
I1R,MCR,1
I1R,MI,1
I1R,NSML,1
I1R,NSMR,1
I1R,pm1,1
I1R,pm3D,1
I1R,pm3VR,1
I1R,pm4D,1
I1R,pm4VR,1
I1R,pm5D,1
I1R,pm5VR,1
I2L,I1L,1
I2L,I2R,1
I2L,I4,1
I2L,I5,1
I2L,I6,1
I2L,M1,1
I2L,M3R,1
I2L,M4,1
I2L,NSML,1
I2L,NSMR,1
I2L,pm3VL,1
I2L,pm4VL,1
I2L,pm5D,1
I2L,pm5VL,1
I2L,pm5VR,1
I2L,e3VL,1
I2R,I1R,1
I2R,I2L,1
I2R,I4,1
I2R,I5,1
I2R,I6,1
I2R,M1,1
I2R,M2R,1
I2R,M3R,1
I2R,M4,1
I2R,MCL,1
I2R,NSML,1
I2R,NSMR,1
I2R,pm1,1
I2R,pm3VR,1
I2R,pm4D,1
I2R,pm4VL,1
I2R,pm5VL,1
I2R,pm5VR,1
I2R,e3VR,1
I3,I1L,1
I3,I1R,1
I3,I5,1
I3,I6,1
I3,M1,1
I3,M2L,1
I3,M3L,1
I3,M3R,1
I3,M4,1
I3,MCL,1
I3,MCR,1
I3,MI,1
I3,NSMR,1
I3,pm4D,1
I3,pm5D,1
I4,I2R,1
I4,I5,1
I4,M2L,1
I4,M3L,1
I4,M3R,1
I4,MI,1
I4,NSML,1
I4,NSMR,1
I4,pm4D,1
I4,pm5VL,1
I4,pm5VR,1
I5,I1L,1
I5,I2L,1
I5,I2R,1
I5,I3,1
I5,I4,1
I5,M1,1
I5,M2L,1
I5,M3L,1
I5,M3R,1
I5,M4,1
I5,M5,1
I5,MI,1
I5,NSML,1
I5,NSMR,1
I5,pm5VL,1
I5,pm5VR,1
I5,pm6VL,1
I5,g1AL,1
I5,g1AR,1
I6,I1R,1
I6,I2L,1
I6,I2R,1
I6,I3,1
I6,M3L,1
I6,M4,1
I6,NSML,1
I6,NSMR,1
I6,pm5D,1
I6,g1p,1
I6,bm,1
M1,I1R,1
M1,I2L,1
M1,I2R,1
M1,I3,1
M1,I4,1
M1,I5,1
M1,M4,1
M1,M5,1
M1,MI,1
M1,NSML,1
M1,pm2D,1
M1,pm2VL,1
M1,pm3VL,1
M1,pm4D,1
M1,pm5D,1
M1,e3D,1
M1,e3VL,1
M1,g1p,1
M1,RIPL,1
M2L,I3,1
M2L,I4,1
M2L,I5,1
M2L,M3L,1
M2L,M3R,1
M2L,pm4D,1
M2L,pm4VL,1
M2L,pm5D,1
M2L,pm5VL,1
M2L,g1AL,1
M2R,I4,1
M2R,I5,1
M2R,M3L,1
M2R,M3R,1
M2R,NSMR,1
M2R,pm4D,1
M2R,pm4VR,1
M2R,pm5VR,1
M2R,g1AR,1
M3L,NSML,1
M3L,pm4D,1
M3L,pm4VL,1
M3L,pm5D,1
M3L,pm5VL,1
M3R,M4,1
M3R,pm4D,1
M3R,pm4VR,1
M3R,g1AR,1
M3R,bm,1
M4,I4,1
M4,I5,1
M4,M2L,1
M4,M3L,1
M4,M4,1
M4,MCL,1
M4,pm4VR,1
M4,pm5D,1
M4,pm5VL,1
M4,pm5VR,1
M4,g1p,1
M4,g1AL,1
M4,g1AR,1
M4,g2L,1
M5,I5,1
M5,M1,1
